TIFF_file,TIFF_path,JPEG_file,JPEG_path,hamming_distance,ssim_score,used_ssim
quarzo_84_intera_01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-01-25/quarzo_84_intera_01.tif,L7_e86e61f005bad64dd9b5e11d1ef1c1fe.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_e86e61f005bad64dd9b5e11d1ef1c1fe.jpg,386,,False
80_Bohemite_DXRL_cat_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Gioia/2010-09-02/80_Bohemite_DXRL_cat_07.tif,L7_33f83f4d183989f8499a0c64d2556993.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_33f83f4d183989f8499a0c64d2556993.jpg,442,,False
smp2_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp2_03.tif,L7_96faea02f762482407fb35b185ae4dda.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_96faea02f762482407fb35b185ae4dda.jpg,426,,False
g433c_42.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/140124 - G433C - annealing 380/g433c_42.tif,L7_01ac05e2ee08ff72e3cfd720d26fa04d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_01ac05e2ee08ff72e3cfd720d26fa04d.jpg,466,,False
SOI15_44.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/Fremors/2015-03-30/SOI15_44.tif,L7_983488728445f2a855bbb9ef49d45aee.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_983488728445f2a855bbb9ef49d45aee.jpg,410,,False
3-D21200-109.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/121008/3-D21200-109.tif,L7_fa75e137813cca1ede21d8afd5b29a2c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_fa75e137813cca1ede21d8afd5b29a2c.jpg,440,,False
M16_08.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/2010-11-08-M16/M16_08.tif,L7_236cec9342a3b22a15b1647b5b88b019.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_236cec9342a3b22a15b1647b5b88b019.jpg,418,,False
smp4_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp4_04.tif,L7_4d938e5fe4666c40a8dacf93a19816e7.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_4d938e5fe4666c40a8dacf93a19816e7.jpg,420,,False
Z3_sottile_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/Nanostructures/Bidini_ZnO/Z3_sottile/Z3_sottile_02.tif,L7_a000f85ad92fcfe6d74defb76789ea47.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_a000f85ad92fcfe6d74defb76789ea47.jpg,444,,False
N6_BR_05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130824 - NW - Batch130823/N6_BR_05.tif,L7_af4c1d15fed902a3cba6083819b25957.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Biological/L7_af4c1d15fed902a3cba6083819b25957.jpg,454,,False
