TIFF_file,TIFF_path,JPEG_file,JPEG_path,hamming_distance,ssim_score,used_ssim
quarzo_84_intera_01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-01-25/quarzo_84_intera_01.tif,L9_f1fc6ebe86c29da1a8bbdc1e109d818f.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_f1fc6ebe86c29da1a8bbdc1e109d818f.jpg,408,,False
80_Bohemite_DXRL_cat_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Gioia/2010-09-02/80_Bohemite_DXRL_cat_07.tif,L9_ba5b8aa05c2aed6ca5861799a3d1065f.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_ba5b8aa05c2aed6ca5861799a3d1065f.jpg,448,,False
smp2_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp2_03.tif,L9_da4f677c324c57fc3bf7cdc987633d91.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_da4f677c324c57fc3bf7cdc987633d91.jpg,450,,False
g433c_42.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/140124 - G433C - annealing 380/g433c_42.tif,L9_cdd26c5cb1450d4299cdec7e909438e2.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_cdd26c5cb1450d4299cdec7e909438e2.jpg,464,,False
SOI15_44.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/Fremors/2015-03-30/SOI15_44.tif,L9_cdd87996141c802df92b855a4de5d727.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_cdd87996141c802df92b855a4de5d727.jpg,470,,False
3-D21200-109.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/121008/3-D21200-109.tif,L9_32ca2f87bed2b01fc6f1da3f8c148132.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_32ca2f87bed2b01fc6f1da3f8c148132.jpg,430,,False
M16_08.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/2010-11-08-M16/M16_08.tif,L9_d3420f0ce7a1ec1834354edbd0d4d8a8.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_d3420f0ce7a1ec1834354edbd0d4d8a8.jpg,424,,False
smp4_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp4_04.tif,L9_868551a78f03d7f5f119596a961d842d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_868551a78f03d7f5f119596a961d842d.jpg,436,,False
Z3_sottile_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/Nanostructures/Bidini_ZnO/Z3_sottile/Z3_sottile_02.tif,L9_48cd792c544d71915f4dbef758f48196.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_48cd792c544d71915f4dbef758f48196.jpg,436,,False
N6_BR_05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130824 - NW - Batch130823/N6_BR_05.tif,L9_72b3bd17c262ddaa06d8e765b01bbc79.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_72b3bd17c262ddaa06d8e765b01bbc79.jpg,472,,False
LX215_09.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giorgis V/20120319_LX/LX215_09.tif,L9_1d9cfc48702b29b5445cb91770c3ca89.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_1d9cfc48702b29b5445cb91770c3ca89.jpg,452,,False
ADF2_1_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/MF_Cut_1/ADF2_1_04.tif,L9_f5c7146c809e6ceee19a47bf20870b49.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_f5c7146c809e6ceee19a47bf20870b49.jpg,480,,False
QCNP_87_900C_1.5h_SolNit_3h_55.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-07-12/QCNP_87_900C_1.5h_SolNit_3h_55.tif,L9_868551a78f03d7f5f119596a961d842d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_868551a78f03d7f5f119596a961d842d.jpg,392,,False
Spinals_ALE_11.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/12-09-07/Spinals_ALE_11.tif,L9_f00aa54584b4b29f79e57c8ca33a9c0a.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_f00aa54584b4b29f79e57c8ca33a9c0a.jpg,446,,False
gr_on_Ni10016.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Jeromy/20160301/gr_on_Ni10016.tif,L9_ce66bc03e1dcb38f95eb3f13d6879f19.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_ce66bc03e1dcb38f95eb3f13d6879f19.jpg,458,,False
grande03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lazzarino M/cleavage/icp_030309/grande03.tif,L9_da4f677c324c57fc3bf7cdc987633d91.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_da4f677c324c57fc3bf7cdc987633d91.jpg,440,,False
C1_06.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Shyju/2007-09-18/C1_06.tif,L9_868551a78f03d7f5f119596a961d842d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_868551a78f03d7f5f119596a961d842d.jpg,404,,False
used02012013_noaperture_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lazzarino M/punte torre/fibreusate_gennaio/used02012013_noaperture_02.tif,L9_a1e91d542c58dcffd17468b36e2abfce.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_a1e91d542c58dcffd17468b36e2abfce.jpg,450,,False
QCNP_850_4h_4h5s15m_Giada_E_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-09-06/QCNP_850_4h_4h5s15m_Giada_E_02.tif,L9_f1fc6ebe86c29da1a8bbdc1e109d818f.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_f1fc6ebe86c29da1a8bbdc1e109d818f.jpg,432,,False
GW_down_lower_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/2011-12-10/GW_down_lower_04.tif,L9_ab068e5f4feb66083b796d2ac0fe96f6.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_ab068e5f4feb66083b796d2ac0fe96f6.jpg,442,,False
bello2_pattern11_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Innocenzi-solgel/pelosi_140509/bello2-160509/bello2_pattern11_03.tif,L9_868551a78f03d7f5f119596a961d842d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_868551a78f03d7f5f119596a961d842d.jpg,380,,False
3000rpm_4sec_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/lenti_081027/litografie/3000rpm_4sec_02.tif,L9_3b5ea1fe26809308d4e1d4b5f3d0a932.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_3b5ea1fe26809308d4e1d4b5f3d0a932.jpg,434,,False
ICP_562_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Pozzato A/THR/ChipCAT/2013-11-05_ChipCAT/ICP_562_02.tif,L9_e952826dba333f077ad532e1bb1811d9.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_e952826dba333f077ad532e1bb1811d9.jpg,478,,False
CNTs_85A_6s_dr_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Rago I/2016-03-02/CNTs_85A_6s_dr_02.tif,L9_f67c102dcd1c769e46b72cb5a1837f13.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_f67c102dcd1c769e46b72cb5a1837f13.jpg,434,,False
Au_NP10_BLT_SH07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Nappini S/2012-05-14/Au_NP10_BLT_SH07.tif,L9_2dab0ff85bd6519e8acfa1cabb7da4ae.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_2dab0ff85bd6519e8acfa1cabb7da4ae.jpg,448,,False
N3_TR_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130909 - NW - Batch130823 - After 30nmHfOx-60Cr40Au/N3_TR_07.tif,L9_ab068e5f4feb66083b796d2ac0fe96f6.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_ab068e5f4feb66083b796d2ac0fe96f6.jpg,462,,False
ITOw_5.3_05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lorenzo D/04_06/ITOw_5.3_05.tif,L9_ab068e5f4feb66083b796d2ac0fe96f6.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_ab068e5f4feb66083b796d2ac0fe96f6.jpg,460,,False
DOUBLE D16 conc 2B03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/130313/DOUBLE D16 conc 2B03.tif,L9_a51bfeb6c884d2183ea9683709ea6f53.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Fibres/L9_a51bfeb6c884d2183ea9683709ea6f53.jpg,452,,False
