TIFF_file,TIFF_path,JPEG_file,JPEG_path,hamming_distance,ssim_score,used_ssim
quarzo_84_intera_01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-01-25/quarzo_84_intera_01.tif,L8_538bd7e468d461a9991556b45a8604be.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_538bd7e468d461a9991556b45a8604be.jpg,380,,False
80_Bohemite_DXRL_cat_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Gioia/2010-09-02/80_Bohemite_DXRL_cat_07.tif,L8_61da946c41276f94a311bbb7460b24f4.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_61da946c41276f94a311bbb7460b24f4.jpg,430,,False
smp2_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp2_03.tif,L8_a0dc2be503a418bc7ab38e2a8e43202f.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_a0dc2be503a418bc7ab38e2a8e43202f.jpg,394,,False
g433c_42.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/140124 - G433C - annealing 380/g433c_42.tif,L8_19bef7d13b1282b18bcc0d2054986b8b.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_19bef7d13b1282b18bcc0d2054986b8b.jpg,446,,False
SOI15_44.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/Fremors/2015-03-30/SOI15_44.tif,L8_cb396a54a8cbdbea6a9bdc6a6bfd69b1.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_cb396a54a8cbdbea6a9bdc6a6bfd69b1.jpg,6,0.9988020098323928,True
3-D21200-109.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/121008/3-D21200-109.tif,L8_e2fd5d1ba1f14e7e6aecbea0ace89eff.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_e2fd5d1ba1f14e7e6aecbea0ace89eff.jpg,430,,False
M16_08.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/2010-11-08-M16/M16_08.tif,L8_500ae33233adfc7e3f8611aa2480d830.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_500ae33233adfc7e3f8611aa2480d830.jpg,0,0.9990518124275891,True
smp4_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp4_04.tif,L8_daee612b3c08b60651fa51fd5cacc591.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_daee612b3c08b60651fa51fd5cacc591.jpg,364,,False
Z3_sottile_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/Nanostructures/Bidini_ZnO/Z3_sottile/Z3_sottile_02.tif,L8_ea496cad6303f6016078ae11c687e198.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_ea496cad6303f6016078ae11c687e198.jpg,430,,False
N6_BR_05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130824 - NW - Batch130823/N6_BR_05.tif,L8_e421d3e98f280caa9693f0af1f2d7af9.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_e421d3e98f280caa9693f0af1f2d7af9.jpg,2,0.9979990966001583,True
LX215_09.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giorgis V/20120319_LX/LX215_09.tif,L8_aa552b28e6da8869f2619e884419cc36.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_aa552b28e6da8869f2619e884419cc36.jpg,428,,False
ADF2_1_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/MF_Cut_1/ADF2_1_04.tif,L8_2dea63f8d7832acb56f5de3d57807e17.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/MEMS_devices_and_electrodes/L8_2dea63f8d7832acb56f5de3d57807e17.jpg,14,0.9964976942530139,True
