TIFF_file,TIFF_path,JPEG_file,JPEG_path,hamming_distance,ssim_score,used_ssim
quarzo_84_intera_01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-01-25/quarzo_84_intera_01.tif,L6_ee4393c733634ac214c1c96c92cb38ae.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_ee4393c733634ac214c1c96c92cb38ae.jpg,416,,False
80_Bohemite_DXRL_cat_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Gioia/2010-09-02/80_Bohemite_DXRL_cat_07.tif,L6_baf4975c4dea7aa835b757d33e8d43b4.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_baf4975c4dea7aa835b757d33e8d43b4.jpg,438,,False
smp2_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp2_03.tif,L6_b67acc7695fc04297236b8b9d6f6446e.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_b67acc7695fc04297236b8b9d6f6446e.jpg,394,,False
g433c_42.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/140124 - G433C - annealing 380/g433c_42.tif,L6_33f4400fa4460f5978a9654de43913cf.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_33f4400fa4460f5978a9654de43913cf.jpg,4,0.996517009727516,True
SOI15_44.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/Fremors/2015-03-30/SOI15_44.tif,L6_76237699bedff825a3b0ca86d9425751.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_76237699bedff825a3b0ca86d9425751.jpg,428,,False
3-D21200-109.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/121008/3-D21200-109.tif,L6_82cb3f4b4a126c75169e560bfcf937f2.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_82cb3f4b4a126c75169e560bfcf937f2.jpg,418,,False
M16_08.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/2010-11-08-M16/M16_08.tif,L6_150c33b337aedc88daf8497495860f05.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_150c33b337aedc88daf8497495860f05.jpg,430,,False
smp4_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp4_04.tif,L6_63958bfe8627cdf861a64e8646d542d5.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_63958bfe8627cdf861a64e8646d542d5.jpg,374,,False
Z3_sottile_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/Nanostructures/Bidini_ZnO/Z3_sottile/Z3_sottile_02.tif,L6_2fed43e81ca44afc627213bb2fcf6134.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_2fed43e81ca44afc627213bb2fcf6134.jpg,438,,False
N6_BR_05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130824 - NW - Batch130823/N6_BR_05.tif,L6_615148d275516266d801cfe817294b29.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_615148d275516266d801cfe817294b29.jpg,446,,False
