TIFF_file,TIFF_path,JPEG_file,JPEG_path,hamming_distance,ssim_score,used_ssim
quarzo_84_intera_01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-01-25/quarzo_84_intera_01.tif,L0_3af8fcd18a2127efbd6cf3d24166ea2d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_3af8fcd18a2127efbd6cf3d24166ea2d.jpg,432,,False
80_Bohemite_DXRL_cat_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Gioia/2010-09-02/80_Bohemite_DXRL_cat_07.tif,L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,462,,False
smp2_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp2_03.tif,L0_311a35b988dcbd586108ecdf3b8cefa6.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_311a35b988dcbd586108ecdf3b8cefa6.jpg,412,,False
g433c_42.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/140124 - G433C - annealing 380/g433c_42.tif,L0_58dce4bf5c6d8301906f408f0c2253e9.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_58dce4bf5c6d8301906f408f0c2253e9.jpg,462,,False
SOI15_44.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/Fremors/2015-03-30/SOI15_44.tif,L0_98b1f245c705b25a0b126d8f4ecc3ac8.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_98b1f245c705b25a0b126d8f4ecc3ac8.jpg,464,,False
3-D21200-109.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/121008/3-D21200-109.tif,L0_e8aa2fb2bee62b3e53960c5249e91959.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_e8aa2fb2bee62b3e53960c5249e91959.jpg,446,,False
M16_08.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/2010-11-08-M16/M16_08.tif,L0_f152464bf5d9fbf5e824a59350abf41c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_f152464bf5d9fbf5e824a59350abf41c.jpg,444,,False
smp4_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/mattia/smp4_04.tif,L0_f152464bf5d9fbf5e824a59350abf41c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_f152464bf5d9fbf5e824a59350abf41c.jpg,404,,False
Z3_sottile_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/Nanostructures/Bidini_ZnO/Z3_sottile/Z3_sottile_02.tif,L0_f152464bf5d9fbf5e824a59350abf41c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_f152464bf5d9fbf5e824a59350abf41c.jpg,464,,False
N6_BR_05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130824 - NW - Batch130823/N6_BR_05.tif,L0_98b1f245c705b25a0b126d8f4ecc3ac8.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_98b1f245c705b25a0b126d8f4ecc3ac8.jpg,456,,False
LX215_09.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giorgis V/20120319_LX/LX215_09.tif,L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,430,,False
ADF2_1_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Greco S M L/MF_Cut_1/ADF2_1_04.tif,L0_388b38a8ea05fe41f3f165b9cc61a880.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_388b38a8ea05fe41f3f165b9cc61a880.jpg,428,,False
QCNP_87_900C_1.5h_SolNit_3h_55.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-07-12/QCNP_87_900C_1.5h_SolNit_3h_55.tif,L0_f152464bf5d9fbf5e824a59350abf41c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_f152464bf5d9fbf5e824a59350abf41c.jpg,220,,False
Spinals_ALE_11.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/12-09-07/Spinals_ALE_11.tif,L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,444,,False
gr_on_Ni10016.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Jeromy/20160301/gr_on_Ni10016.tif,L0_35fb9e4f21c0f68a9130df0746d221d5.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_35fb9e4f21c0f68a9130df0746d221d5.jpg,450,,False
grande03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lazzarino M/cleavage/icp_030309/grande03.tif,L0_f152464bf5d9fbf5e824a59350abf41c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_f152464bf5d9fbf5e824a59350abf41c.jpg,394,,False
C1_06.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Shyju/2007-09-18/C1_06.tif,L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,358,,False
used02012013_noaperture_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lazzarino M/punte torre/fibreusate_gennaio/used02012013_noaperture_02.tif,L0_1c34778dec5a1701d689a7067c4813eb.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_1c34778dec5a1701d689a7067c4813eb.jpg,442,,False
QCNP_850_4h_4h5s15m_Giada_E_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-09-06/QCNP_850_4h_4h5s15m_Giada_E_02.tif,L0_3af8fcd18a2127efbd6cf3d24166ea2d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_3af8fcd18a2127efbd6cf3d24166ea2d.jpg,428,,False
GW_down_lower_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/2011-12-10/GW_down_lower_04.tif,L0_45c30a92e533f69901a4376bafa206af.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_45c30a92e533f69901a4376bafa206af.jpg,448,,False
bello2_pattern11_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Innocenzi-solgel/pelosi_140509/bello2-160509/bello2_pattern11_03.tif,L0_f152464bf5d9fbf5e824a59350abf41c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_f152464bf5d9fbf5e824a59350abf41c.jpg,356,,False
3000rpm_4sec_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/lenti_081027/litografie/3000rpm_4sec_02.tif,L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,366,,False
ICP_562_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Pozzato A/THR/ChipCAT/2013-11-05_ChipCAT/ICP_562_02.tif,L0_0fb5092c2e46fcc1c2b797e50d0ee583.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_0fb5092c2e46fcc1c2b797e50d0ee583.jpg,460,,False
CNTs_85A_6s_dr_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Rago I/2016-03-02/CNTs_85A_6s_dr_02.tif,L0_35fb9e4f21c0f68a9130df0746d221d5.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_35fb9e4f21c0f68a9130df0746d221d5.jpg,426,,False
Au_NP10_BLT_SH07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Nappini S/2012-05-14/Au_NP10_BLT_SH07.tif,L0_da6e0d7602e5a8efb5d918fcc20e1970.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_da6e0d7602e5a8efb5d918fcc20e1970.jpg,458,,False
N3_TR_07.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130909 - NW - Batch130823 - After 30nmHfOx-60Cr40Au/N3_TR_07.tif,L0_a9132ad0b01c082eb7085674e36e889c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_a9132ad0b01c082eb7085674e36e889c.jpg,468,,False
ITOw_5.3_05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lorenzo D/04_06/ITOw_5.3_05.tif,L0_f152464bf5d9fbf5e824a59350abf41c.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_f152464bf5d9fbf5e824a59350abf41c.jpg,438,,False
DOUBLE D16 conc 2B03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/130313/DOUBLE D16 conc 2B03.tif,L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_90ea60e60d1751c4d1f4c770cd1804aa.jpg,410,,False
A20_BL_06.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/140226 - nw - test 2/A20_BL_06.tif,L0_ea66e5427a2991c5f20aa7d9b9c902cc.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_ea66e5427a2991c5f20aa7d9b9c902cc.jpg,470,,False
