JPEG_file,JPEG_path,TIFF_file,TIFF_path,hamming_distance,ssim_score,used_ssim,match_quality
L6_550ee81f290948fc9e6f668402f5eac2.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_550ee81f290948fc9e6f668402f5eac2.jpg,Slo_02M_19.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/LiF/Slo 02M/Slo_02M_19.tif,430,,False,no_match
L6_fd0bd96e7fda1bce1e226e313b9fc958.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_fd0bd96e7fda1bce1e226e313b9fc958.jpg,NF-B(sigma)_00.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/P3HT nanofibers/NF_B/NF-B (sigma)/NF-B(sigma)_00.tif,4,0.9984059366885736,True,excellent
L6_cee90796d31d829d3b284ca90a608d8f.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_cee90796d31d829d3b284ca90a608d8f.jpg,SlabPMMA_replica1_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/napanil/modines/slab_replica1_110509/SlabPMMA_replica1_02.tif,440,,False,no_match
L6_41e5a93b0a21509511fac8a6e293ce7e.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_41e5a93b0a21509511fac8a6e293ce7e.jpg,027_Holes_02.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/nanoscale master/2010-02-08-dots francesi/027_Holes_02.tif,418,,False,no_match
L6_a1bbb31ad7936bb8118204950c87204a.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_a1bbb31ad7936bb8118204950c87204a.jpg,CNTAU27.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/071113/CNTAU27.tif,432,,False,no_match
L6_eb7b7a4235d2ec1c6a143a841b378b96.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_eb7b7a4235d2ec1c6a143a841b378b96.jpg,sw_130207_00.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/070220/sw_130207_00.tif,24,0.9957202163975811,True,excellent
L6_aeb379e6f3513c5e02246282c9dc14ac.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_aeb379e6f3513c5e02246282c9dc14ac.jpg,per_2step_70s_1_01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/John/Perovskites/Gionata/06Aug15/per_2step_70s_1_01.tif,334,,False,no_match
L6_e8a726c830dad57dfa099fb0212043ca.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_e8a726c830dad57dfa099fb0212043ca.jpg,4D_7.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Pozzato A/2007/2007-02-06/4D_7.tif,450,,False,no_match
L6_2e2f10a2358ed5cf2befabcd7065e54a.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_2e2f10a2358ed5cf2befabcd7065e54a.jpg,02OM22_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Matteucci M/SU-8-2002/02OM19-25/02OM22_04.tif,418,,False,no_match
L6_433da1dd69a2b42a819702b8aedee4cc.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_433da1dd69a2b42a819702b8aedee4cc.jpg,cnt12_200618.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/labmodesti/CNTdic2006_2007/cnt12_200618.tif,446,,False,no_match
L6_5988dca61409207c14f3d59a4092335d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_5988dca61409207c14f3d59a4092335d.jpg,QCNP_87_900C_1.5h_Pir+SHNH_29.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-07-12/QCNP_87_900C_1.5h_Pir+SHNH_29.tif,414,,False,no_match
L6_a8e355c3d7454fc423c3e13233d91e49.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Nanowires/L6_a8e355c3d7454fc423c3e13233d91e49.jpg,DNAoDiskNPFSqExtr.01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/140227/DNAoDiskNPFSqExtr.01.tif,450,,False,no_match
