JPEG_file,JPEG_path,TIFF_file,TIFF_path,hamming_distance,ssim_score,used_ssim,match_quality
L2_3f4a5596f60e154546a91aad1fc9a43b.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_3f4a5596f60e154546a91aad1fc9a43b.jpg,DNAoV2TP20F9-1bandsecond54.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/150529/DNAoV2TP20F9-1bandsecond54.tif,382,,False,no_match
L2_80312bd4714a8532673a46088b29848d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_80312bd4714a8532673a46088b29848d.jpg,D21double27-909.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/121001/D21double27-909.tif,4,0.9953269834700836,True,excellent
L2_356e6123a3863820d0770c15b8c55dba.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_356e6123a3863820d0770c15b8c55dba.jpg,CNP_900C_1.5h_17.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-07-05/CNP_900C_1.5h_17.tif,422,,False,no_match
L2_cc7411fa372fb8390dbc5ecca9786bad.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_cc7411fa372fb8390dbc5ecca9786bad.jpg,QCNP_87_900C_1.5h_Pir+SHNH_17.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/10-07-12/QCNP_87_900C_1.5h_Pir+SHNH_17.tif,256,,False,no_match
L2_e263bd340ae9c248966327d435c46acb.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_e263bd340ae9c248966327d435c46acb.jpg,DOUBLE D16 conc 2B03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/130313/DOUBLE D16 conc 2B03.tif,400,,False,no_match
L2_a7b85c3c922dc3830ca498902a0b2104.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_a7b85c3c922dc3830ca498902a0b2104.jpg,L_ITO_5_3_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lorenzo D/L_ITO_5/L_ITO_5_3_03.tif,14,0.9986088187660713,True,excellent
L2_eb5c2b8b80215786a0d217c552db1c2d.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_eb5c2b8b80215786a0d217c552db1c2d.jpg,Si_18.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Dalmiglio M/22-04-08/Si/Si_18.tif,438,,False,no_match
L2_634591d455521ea918d47576e9a4a712.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_634591d455521ea918d47576e9a4a712.jpg,termofissato_f_16.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/ILO/15-09-08/termofissato/fronte/termofissato_f_16.tif,442,,False,no_match
L2_d6521543cd33ce0e2e73d479362e1730.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_d6521543cd33ce0e2e73d479362e1730.jpg,lif (CTAB)17.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Giusy/LiF/lif(CTAB)/lif (CTAB)17.tif,2,0.9997689241800546,True,excellent
L2_3d99fc176e6bba07c9008658cc4124bd.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Particles/L2_3d99fc176e6bba07c9008658cc4124bd.jpg,NPbiotin 300K01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/130221/NPbiotin 300K01.tif,2,0.9980688865137448,True,excellent
