JPEG_file,JPEG_path,TIFF_file,TIFF_path,hamming_distance,ssim_score,used_ssim,match_quality
L0_35da4528991365232bec1278d5456bbc.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_35da4528991365232bec1278d5456bbc.jpg,Thick_3D_Sponge_CNTs_04.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/15-07-01/Thick_3D_Sponge_CNTs_04.tif,2,0.9986837148388441,True,excellent
L0_ab272d4311bb45290d7f090201f5a3cf.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_ab272d4311bb45290d7f090201f5a3cf.jpg,G_Ag01.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Marina C/G_Ag/G_Ag01.tif,0,0.9998696950533826,True,excellent
L0_8cb9d31d4bc58bb514184cc6eddace33.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_8cb9d31d4bc58bb514184cc6eddace33.jpg,N4_TL_11.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Orru M/130909 - NW - Batch130823 - After 30nmHfOx-60Cr40Au/N4_TL_11.tif,436,,False,no_match
L0_10b39bc98353669e8626c3871e3f6e91.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_10b39bc98353669e8626c3871e3f6e91.jpg,Thick_3D_Sponge_CNTs_08.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/15-07-01/Thick_3D_Sponge_CNTs_08.tif,2,0.9988443391915474,True,excellent
L0_cc59dc40bfb2954475b5f65aff32305a.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_cc59dc40bfb2954475b5f65aff32305a.jpg,Graphene_PDMS_Sponge_Ester__20.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/15-08-06/Graphene_PDMS_Sponge_Ester__20.tif,26,0.4803545198947337,True,poor
L0_c76034310538059fccf32d487a92c234.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_c76034310538059fccf32d487a92c234.jpg,D21R +70% 2B el05.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/luca_p/121221/D21R +70% 2B el05.tif,424,,False,no_match
L0_9df743ce3d6097d610fd145c07895ea0.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_9df743ce3d6097d610fd145c07895ea0.jpg,5min105_dose1min30sec_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Grenci G/Giovanni/xarp_baketest_081030/061108/5min105_dose1min30sec_03.tif,436,,False,no_match
L0_311a35b988dcbd586108ecdf3b8cefa6.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_311a35b988dcbd586108ecdf3b8cefa6.jpg,FIltro_bianco_03.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/14-11-12/FIltro_bianco_03.tif,186,,False,no_match
L0_d116ebe3a5852a361056ce51773b546e.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_d116ebe3a5852a361056ce51773b546e.jpg,Copy of Sample102.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/Lazzarino M/Riste/Copy of Sample102.tif,446,,False,no_match
L0_aa7d6da23492622ba4e74b9da05bb4f4.jpg,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/public_dataset/Complete_dataset/Porous_Sponge/L0_aa7d6da23492622ba4e74b9da05bb4f4.jpg,Graphene_PDMS_Sponge_Ester__10.tif,/orfeo/cephfs/scratch/mdmc/appliedAI/SEM/backup_folder/denis/15-08-06/Graphene_PDMS_Sponge_Ester__10.tif,2,0.9986050808664568,True,excellent
